policy_id,policy_name,department_id,department_name,framework_alignment,last_reviewed,version,review_cycle_months,policy_owner,approval_authority,status,covers_rbi_clause,covers_dpdp_clause,covers_cert_in_clause,gap_flag,gap_description
POL-DAT-301,Data Localization and Payment Data Sovereignty Policy,DEPT-003,Data Governance & Privacy,"RBI-Data-Storage-2018 / RBI-Cyber-2016",2024-01-05,v2.5,6,CDO,Board Risk Committee,Active,RBI-CYB-08 / RBI-DATA-01,,,"No","All payment data stored in India-based infrastructure. DLP deployment to prevent unauthorised exfiltration. Data repatriation from foreign processors within 1 business day."
POL-DAT-302,Customer Data Privacy and Protection Standard,DEPT-003,Data Governance & Privacy,"DPDP-Act-2023 / RBI-KYC-2025",2024-03-15,v1.5,6,Data Privacy Officer,CDO,Active,RBI-KYC-01,DPDP-01 / DPDP-02 / DPDP-04,,"Yes","Consent framework defined for adults but verifiable parental consent mechanism for child data (DPDP-06) is not yet implemented. Child age-gating controls are absent."
POL-DAT-303,Data Retention Archival and Records Management Guidelines,DEPT-003,Data Governance & Privacy,"RBI-KYC-2025 / CERT-In-2022",2023-11-30,v2.6,12,Head of Data Management,CDO,Active,RBI-KYC-05,CERT-IN-04,,"No","5-year post-relationship KYC record retention. 5-year subscriber data retention for service providers. Archival standards and retrieval SLAs defined."
POL-DAT-304,Data Classification Labeling and Handling Standard,DEPT-003,Data Governance & Privacy,"DPDP-Act-2023 / ISO-27001-2022",2023-08-22,v1.8,12,Head of Data Management,CDO,Active,,DPDP-08,,"No","Four-tier classification (Public Internal Confidential Restricted). Handling procedures per tier. Technical and organisational controls proportionate to sensitivity."
POL-DAT-305,Right to Erasure and Data Minimisation Protocol,DEPT-003,Data Governance & Privacy,"DPDP-Act-2023",2024-03-20,v1.0,6,Data Privacy Officer,CDO,Active,,DPDP-05,,"Yes","Erasure workflow is defined but the automated deletion script does not cover archived cold storage. Manual deletion from archive tier creates a compliance gap against DPDP Section 8(7)."
POL-DAT-306,Consent Management and Withdrawal Framework,DEPT-003,Data Governance & Privacy,"DPDP-Act-2023",2024-03-20,v1.2,6,Data Privacy Officer,CDO,Active,,DPDP-01 / DPDP-02 / DPDP-03,,"No","Pre-consent notice in plain language defined. Withdrawal mechanism parity with consent giving. Processing cessation within 72 hours of withdrawal."
POL-DAT-307,Data Breach Detection Notification and Response Procedure,DEPT-003,Data Governance & Privacy,"DPDP-Act-2023 / CERT-In-2022",2024-02-01,v1.3,6,Data Privacy Officer,CDO,Active,,DPDP-07,,No,"Data Protection Board notification defined. Affected data principal individual notification workflow. Breach detection integrated with SIEM alerts."
POL-DAT-402,Sensitive Data Masking and PAN Protection Standard,DEPT-003,Data Governance & Privacy,"RBI-DPS-2021 / PCI-DSS-v4",2024-02-15,v2.0,6,Head of Data Engineering,CDO,Active,RBI-DPS-01 / RBI-CYB-08,,,No,"Full PAN masking in all logs displays and exports. Account number truncation to last 4 digits in UI. Automated SQL masking applied to production DB clones used in testing."
POL-HR-101,Employee Cyber Security Awareness and Training Policy,DEPT-009,Human Resources,"RBI-Cyber-2016",2024-01-10,v1.5,12,CHRO,MD,Active,RBI-CYB-11,,,No,"Annual cyber security training for all staff. Specialised training tracks for IT staff and sensitive data handlers. Training completion tracked and reported to Board."
POL-FRAUD-101,Payment Fraud Prevention Monitoring and Reporting Policy,DEPT-007,Treasury & Payments,"RBI-PSS-2021 / RBI-DPS-2021",2024-02-10,v2.1,6,Head of Fraud Risk,CRO,Active,RBI-DPS-04 / RBI-DPS-07 / RBI-PAY-01 / RBI-PAY-02,,,No,"Real-time transaction anomaly detection system. Velocity checks for UPI NEFT RTGS IMPS. Customer SMS/email notification for transactions above ₹5000. RBI reporting for frauds above ₹1 crore within 14 days."
POL-TREAS-701,Payment Systems Security and Interbank Controls Policy,DEPT-007,Treasury & Payments,"RBI-PSS-2021 / SWIFT-CSP",2024-01-08,v2.3,6,Head of Treasury Ops,CRO,Active,RBI-PAY-01 / RBI-PAY-02,,,No,"SWIFT Alliance Gateway controls. Interbank payment security baselines. Fraud escalation integration with POL-FRAUD-101."
POL-LEND-501,Digital Lending Application Security and Disbursement Controls,DEPT-005,Digital Lending & Credit,"RBI-DLEND-2022",2024-01-15,v1.5,6,Head of Digital Lending,CRO,Active,RBI-DLEND-01,,,No,"Direct borrower-to-RE disbursal controls. No LSP pass-through accounts. Application security baseline for lending portal aligned to RBI-DPS-2021."
POL-LEND-503,Alternative Data and Borrower Data Usage Policy,DEPT-005,Digital Lending & Credit,"RBI-DLEND-2022 / DPDP-Act-2023",2024-02-28,v1.2,6,Chief Analytics Officer,CDO,Active,RBI-DLEND-03,,DPDP-08,"No","LSP data storage restrictions. Minimal transactional data only. Data sharing agreements mandatory in LSP contracts."
POL-LEND-504,Loan Service Provider Management and Disclosure Policy,DEPT-005,Digital Lending & Credit,"RBI-DLEND-2022",2024-01-25,v1.1,6,Head of Digital Lending,CCO,Active,RBI-DLEND-02 / RBI-DLEND-04,,,Yes,"KFS template is defined but the APR computation engine has not been validated against RBI's all-inclusive cost definition. May result in incorrect APR disclosure. GAP under RBI-DLEND-02."
POL-VEND-601,IT Vendor Risk Assessment and Outsourcing Governance SOP,DEPT-006,Vendor & Third-Party Management,"RBI-OUTSRC-2023 / ISO-27001",2024-01-30,v2.5,12,Director of Procurement,CRO,Active,RBI-OUTSRC-01 / RBI-OUTSRC-02 / RBI-OUTSRC-04 / RBI-OUTSRC-05 / RBI-DPS-08,,,No,"Regulatory audit rights in all vendor contracts. IT outsourcing register maintained and annually reviewed. Board-approved outsourcing policy with exit strategy. 3-month exit notice and certified data destruction."
POL-VEND-602,Third-Party Cloud Services Governance Policy,DEPT-006,Vendor & Third-Party Management,"RBI-OUTSRC-2023",2024-01-30,v1.5,6,Head of Cloud Governance,CISO,Active,RBI-OUTSRC-04,CERT-IN-04,,"No","Cloud service provider contractual requirements. Data sovereignty provisions for Indian customer data. Subscriber data retention obligations for cloud providers."
POL-VEND-603,Vendor Security Audit Requirements Standard,DEPT-006,Vendor & Third-Party Management,"ISO-27001-2022 / RBI-OUTSRC-2023",2023-09-25,v2.2,12,Director of Procurement,CISO,Active,RBI-OUTSRC-01 / RBI-CYB-06,,,No,"Security audit rights exercisable at the bank's discretion. Vendor penetration testing evidence accepted as audit input. Sub-contractor audit pass-through required."
POL-VEND-604,Cross-Border Vendor Data Transfer and Sovereignty Policy,DEPT-006,Vendor & Third-Party Management,"DPDP-Act-2023 / RBI-OUTSRC-2023 / FEMA",2024-03-10,v1.0,6,Director of Procurement,CDO,Active,RBI-OUTSRC-03 / RBI-DLEND-03,,,"No","Indian regulator access rights in all overseas contracts. Data repatriation obligations. Cross-border transfer impact assessments before new overseas vendor engagement."
POL-AUDIT-801,Internal Audit Charter Independence and Reporting Policy,DEPT-008,Internal Audit & Risk,"RBI-Internal-Audit-2023",2024-01-20,v2.2,12,Chief Internal Auditor,Audit Committee,Active,RBI-AUD-02,,,No,"Direct Audit Committee reporting. Unfettered access to all records and systems. Escalation protocol for access impediments."
POL-AUDIT-802,Risk-Based Internal Audit Methodology,DEPT-008,Internal Audit & Risk,"RBI-Internal-Audit-2023",2024-01-20,v1.8,12,Chief Internal Auditor,Audit Committee,Active,RBI-AUD-01,,,No,"Risk assessment methodology covering all business units outsourced activities and IT/cyber audit. Annual audit plan with Board Audit Committee approval."
